,Airline,Overall Rating,Reviews,Boarding,Comfort,Crew,Entertainment,Food
1,Lufthansa,6.3 Good,3957,6.6,6.4,7.3,6.2,5.9
2,KLM,7.1 Good,817,7.1,7.0,7.9,6.8,6.8
3,British Airways,6.1 Good,3812,6.4,6.3,7.3,6.0,5.9
4,SWISS,7.1 Good,1090,7.2,6.9,8.1,6.8,7.0
5,Delta,7.3 Good,5706,7.6,7.3,8.2,7.5,6.8
6,Turkish Airlines,6.9 Good,2089,6.9,6.9,7.4,7.2,7.1
7,Air France,6.9 Good,984,6.9,6.9,7.9,6.6,6.7
8,Qatar Airways,7.3 Good,2154,7.5,7.4,8.0,7.4,7.1
9,United Airlines,6.6 Good,6031,7.1,6.5,7.6,6.4,6.0
10,Emirates,7.7 Good,1930,7.8,7.7,8.0,8.1,7.5
11,Iberia,6.1 Good,1480,6.4,6.0,7.0,6.0,5.5
12,Austrian Airlines,6.6 Good,479,6.8,6.6,7.4,6.1,6.2
13,Air Canada,6.1 Good,3203,6.5,6.3,7.3,6.2,5.5
14,Singapore Airlines,7.7 Good,740,8.0,7.7,8.4,7.8,7.3
15,Brussels Airlines,6.5 Good,312,6.7,6.5,7.6,5.9,6.0
16,Finnair,7.1 Good,636,7.1,6.9,7.7,6.4,6.3
17,Scandinavian Airlines,6.6 Good,666,7.0,6.8,7.6,6.3,6.2
18,Etihad Airways,6.7 Good,696,6.8,6.7,7.2,6.7,6.5
19,TAP AIR PORTUGAL,6.3 Good,1174,6.2,6.4,7.2,5.8,5.8
20,Ethiopian Air,6.9 Good,398,7.0,7.0,7.4,6.4,6.6
21,Alaska Airlines,7.4 Good,4621,7.7,7.4,8.2,6.8,6.8
22,LOT,6.4 Good,798,6.5,6.6,7.4,6.1,6.1
23,Cathay Pacific,7.1 Good,698,7.4,7.2,7.6,7.4,6.8
24,Spirit Airlines,"Based on 5,159 reviews",62,5.3,6.7,4.4,4.5,
25,Ryanair,"Based on 3,120 reviews",58,5.7,6.8,4.8,5.2,
26,JetBlue,6.9 Good,3290,7.2,7.3,7.8,6.8,6.6
27,Malaysia Airlines,6.7 Good,240,7.0,6.7,7.6,6.1,6.2
28,ITA Airways,Based on 387 reviews,61,6.0,6.8,5.6,5.3,
29,ANA,8.0 Excellent,461,8.2,7.8,8.6,7.7,7.4
30,Korean Air,8.2 Excellent,597,8.5,8.0,8.7,7.9,7.9
31,Japan Airlines,7.9 Good,726,8.1,8.0,8.5,7.6,7.7
32,Aeromexico,6.8 Good,1582,6.9,7.0,7.5,6.8,6.3
33,Avianca,6.8 Good,2132,7.0,6.8,7.4,6.3,5.8
34,Frontier,"Based on 3,039 reviews",60,5.1,6.7,4.2,4.4,
35,Thai Airways,7.3 Good,316,7.5,7.2,8.1,6.6,6.9
36,LATAM Airlines,6.7 Good,1387,6.8,6.7,7.5,6.4,6.1
37,China Eastern,6.4 Good,514,6.8,6.5,7.0,6.2,5.8
38,China Southern,7.3 Good,257,7.7,7.3,7.9,7.0,6.7
39,Aer Lingus,6.5 Good,823,6.7,6.5,7.5,6.5,6.1
40,Air China,6.2 Good,420,6.6,6.2,7.1,5.8,5.7
41,Egypt Air,6.7 Good,403,7.0,6.7,7.3,5.8,6.5
42,Asiana Airlines,8.0 Excellent,354,8.2,7.9,8.5,7.5,7.7
43,Air India,"Based on 1,764 reviews",58,5.0,6.2,4.0,5.3,
44,Air Serbia,6.1 Good,116,6.1,6.6,7.2,5.5,5.7
45,Air Europa,6.0 Good,407,6.3,6.1,6.9,5.9,5.6
46,Pegasus Airlines,6.0 Good,321,6.1,5.8,6.8,5.0,5.3
47,easyJet,6.2 Good,1652,6.0,6.3,7.4,5.0,5.5
48,China Airlines,7.8 Good,424,8.0,7.5,8.3,7.7,7.2
49,Gulf Air,6.8 Good,140,7.0,7.1,7.2,6.4,6.2
50,Copa Airlines,7.2 Good,1711,7.6,7.2,7.9,6.7,6.8
51,Royal Air Maroc,Based on 468 reviews,55,5.6,6.3,5.4,5.5,
52,EVA Air,8.0 Excellent,757,8.2,8.0,8.4,7.8,7.6
53,Qantas Airways,7.2 Good,645,7.4,7.0,8.1,7.2,6.8
54,airBaltic,6.7 Good,88,7.0,6.8,7.7,6.3,6.5
55,Philippine Airlines,6.8 Good,786,6.7,6.8,7.7,6.5,6.5
56,Eurowings,Based on 220 reviews,62,5.8,6.9,5.0,5.1,
57,Icelandair,6.5 Good,892,6.5,6.3,7.6,6.7,5.4
58,GOL,6.5 Good,741,6.5,6.7,7.7,5.8,5.6
59,Norwegian,Based on 674 reviews,59,5.8,6.5,5.8,4.7,
60,SAUDIA,6.5 Good,451,6.7,6.7,7.3,6.3,6.4
61,Kuwait Airways,6.7 Good,202,6.8,7.0,7.0,6.2,6.4
62,Vietnam Airlines,7.1 Good,191,7.2,7.3,7.9,6.3,6.7
63,SriLankan Airlines,6.9 Good,78,7.0,6.8,7.5,6.5,6.8
64,Aegean Airlines,7.0 Good,354,6.8,7.0,7.8,6.2,6.8
65,American Airlines,6.4 Good,8157,6.8,6.4,7.5,6.3,5.9
66,Garuda Indonesia,7.0 Good,63,7.3,7.4,7.9,6.8,6.8
67,XiamenAir,6.7 Good,65,7.1,7.2,7.5,6.4,6.4
68,Batik Air,6.7 Good,24,7.2,6.4,7.3,5.0,5.2
69,Scoot,Based on 187 reviews,63,5.7,6.8,4.5,5.0,
70,Sun Country Air,6.4 Good,474,6.9,6.2,7.5,5.1,5.4
71,Transavia France,6.1 Good,159,6.0,6.1,7.2,5.1,5.4
72,Virgin Atlantic,7.2 Good,491,7.4,6.9,8.0,7.2,6.6
73,Vueling,Based on 785 reviews,60,5.9,6.9,4.9,5.2,
74,Royal Jordanian,6.3 Good,287,6.7,6.3,6.8,6.0,5.9
75,VietJet Air,Based on 56 reviews,53,5.2,6.5,3.8,4.2,
