,Airline,Phone
1,Lufthansa,1800 102 5838
2,KLM,1800 4193 044
3,British Airways,1860 180 3592
4,SWISS,+91 1244815000
5,Delta,+1 888 750 3284
6,Turkish Airlines,+91 12 4419 3000
7,Air France,+91 (0) 124 623 3502
8,Qatar Airways,+91-79 6155 6000
9,United Airlines,91-124-4315500
10,Emirates,+91 916 700 3333
11,Iberia,+34 901 111 500
12,Austrian Airlines,+43 5 1766 3100
13,Air Canada,91-11-4717-2900
14,Singapore Airlines,+91 124 4310999
15,Brussels Airlines,+91 11 436 40411
16,Finnair,+91 12 4467 1111
17,Scandinavian Airlines,+91 114 351 3202
18,Etihad Airways,1800223901
19,TAP AIR PORTUGAL,+91 22 66213820
20,Ethiopian Air,+91 80004 01687
21,Alaska Airlines,000 800 1001051
22,LOT,+91 124 4670500
23,Cathay Pacific,000 800 852 1290
24,Spirit Airlines,+1 801 401 2222
25,Ryanair,+ 44 871 500 5050
26,JetBlue,1-801-449-2525
27,Malaysia Airlines,+60 1 300 88 3000
28,ITA Airways,+39 06 85960 020
29,ANA,022-6147-0737
30,Korean Air,+91 22 2287 3200
31,Japan Airlines,1800-102-4135
32,Aeromexico,+52 (55) 5133 4000
33,Avianca,+57 18000 953 434
34,Frontier,+1 801-401-9000
35,Thai Airways,91 80 46633500
36,LATAM Airlines,+56 600 526 2000
37,China Eastern,+91-11-43513166
38,China Southern,+91 11 43596075
39,Aer Lingus,+353 1 886 8505
40,Air China,001-80086100999
41,Egypt Air,+91 22 22833798
42,Asiana Airlines,91-11-2331-5631
43,Air India,1860 233 1407
44,Air Serbia,+381 11 311 21 23
45,Air Europa,+30 2238 5436
46,Pegasus Airlines,+90 850 250 67 77
47,easyJet,+44 330 365 5454
48,China Airlines,+886-2-412-9000
49,Gulf Air,1800-1237474
50,Copa Airlines,+1 800 359 2672
51,Royal Air Maroc,+212 5 22 48 97 97
52,EVA Air,+91-11-2373 0864
53,Qantas Airways,91 22 6111 1818
54,airBaltic,+371 67006006
55,Philippine Airlines,+63 2 818 0111
56,Eurowings,+49 180 6 320 320
57,Icelandair,+1 800 223 5500
